X:1449.7	Y:475
X:1450.2	Y:293
X:1452.5	Y:1601
X:1452.9	Y:1343
X:1453.9	Y:1262
X:1454.3	Y:713
X:1455.1	Y:423
X:1456.4	Y:801
X:1457.9	Y:1965
X:1458.9	Y:419
X:1459.5	Y:1244
X:1460.1	Y:684
X:1461.3	Y:539
X:1462.1	Y:470
X:1463	Y:682
X:1464.4	Y:1106
X:1465	Y:406
X:1465.6	Y:1721
X:1466.1	Y:2220
X:1466.5	Y:1800
X:1467.1	Y:1854
X:1467.7	Y:845
X:1468.5	Y:481
X:1469.1	Y:695
X:1469.8	Y:1145
X:1472	Y:542
X:1473.1	Y:743
X:1474.6	Y:444
X:1475.5	Y:830
X:1476.2	Y:687
X:1477.2	Y:349
X:1478.4	Y:974
X:1478.9	Y:757
X:1480.1	Y:420
X:1481.9	Y:448
X:1482.6	Y:482
X:1483.2	Y:1085
X:1483.8	Y:1640
X:1485.3	Y:328
X:1485.9	Y:1279
X:1487.4	Y:575
X:1488.2	Y:552
X:1488.7	Y:1344
X:1490	Y:272
X:1491.6	Y:1052
X:1493	Y:1355
X:1495.3	Y:600
X:1495.9	Y:5815
X:1496.6	Y:589
X:1497.1	Y:828
X:1498.7	Y:364
X:1499.8	Y:341
X:1500.4	Y:287
X:1501.3	Y:534
X:1502.8	Y:347
X:1503.8	Y:789
X:1505.1	Y:924
X:1506.8	Y:540
X:1507.6	Y:815
X:1508.2	Y:767
X:1509.1	Y:1863
X:1509.6	Y:1496
X:1510.2	Y:1651
X:1510.8	Y:1788
X:1511.9	Y:1471
X:1513.6	Y:3587
X:1514.1	Y:2693
X:1515.2	Y:1260
X:1516.1	Y:764
X:1516.7	Y:325
X:1517.4	Y:557
X:1518.2	Y:1959
X:1518.8	Y:1781
X:1519.8	Y:312
X:1520.5	Y:296
X:1521.1	Y:850
X:1522.1	Y:1042
X:1522.6	Y:322
